player_name,stat_type,line,predicted_value,confidence_score,volatility_score,recommendation,bbref_id,timestamp,confidence_over,confidence_under,over_hit_count,under_hit_count,percentile_20_value,trap_confirmed_by,anomaly_type,is_trap_line,debug_diff,debug_notes
Lexie Hull,Points,14.5,9.8,0.0,0.5,PASS,hulllle01w,2025-06-17T11:02:51.401690,,,0,0,,,NORMAL,False,4.699999999999999,
Lexie Hull,Rebounds,3.5,4.3,0.0,0.5,PASS,hulllle01w,2025-06-17T11:02:51.403793,,,0,0,,,NORMAL,False,-0.7999999999999998,
Marina Mabrey,3-PT Made,3.5,2.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.407009,,,0,0,,,NORMAL,False,0.7000000000000002,
Marina Mabrey,Rebounds,5.5,5.2,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.410677,,,0,0,,,NORMAL,False,0.2999999999999998,
Marina Mabrey,Points,17.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.412854,,,0,0,,,NORMAL,False,-0.10000000000000142,
Marina Mabrey,Pts+Rebs+Asts,34.5,26.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.414890,0.01300000000000004,0.9,0,0,,confidence,DEMON,True,7.899999999999999,"diff=7.9, conf_over=0.013, conf_under=0.900"
Marina Mabrey,Pts+Rebs+Asts,29.5,26.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.416956,,,0,0,,,NORMAL,False,2.8999999999999986,
Marina Mabrey,Pts+Rebs+Asts,39.5,26.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.419234,0.01,0.9,0,0,,confidence,DEMON,True,12.899999999999999,"diff=12.9, conf_over=0.010, conf_under=0.900"
Marina Mabrey,Points,29.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.421196,0.01,0.9,0,0,,confidence,DEMON,True,11.899999999999999,"diff=11.9, conf_over=0.010, conf_under=0.900"
Marina Mabrey,3-PT Made,4.5,2.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.423151,,,0,0,,,NORMAL,False,1.7000000000000002,
Marina Mabrey,Assists,5.5,3.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.425248,,,0,0,,,NORMAL,False,1.7000000000000002,
Marina Mabrey,Fantasy Score,30.5,0.0,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.427379,0.01,0.9,0,0,,confidence,DEMON,True,30.5,"diff=30.5, conf_over=0.010, conf_under=0.900"
Marina Mabrey,Pts+Rebs,22.5,22.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.429433,,,0,0,,,NORMAL,False,-0.3000000000000007,
Marina Mabrey,Points,14.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.431366,0.724,0.15699999999999997,0,0,,,NORMAL,False,-3.1000000000000014,"diff=-3.1, conf_over=0.724, conf_under=0.157"
Marina Mabrey,Points,24.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.433623,0.04300000000000004,0.8759999999999999,0,0,,confidence,DEMON,True,6.899999999999999,"diff=6.9, conf_over=0.043, conf_under=0.876"
Marina Mabrey,Rebs+Asts,8.0,9.0,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.435612,,,0,0,,,NORMAL,False,-1.0,
Marina Mabrey,Rebounds,3.5,5.2,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.437536,,,0,0,,,NORMAL,False,-1.7000000000000002,
Marina Mabrey,Assists,4.5,3.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.439589,,,0,0,,,NORMAL,False,0.7000000000000002,
Marina Mabrey,Rebounds,6.5,5.2,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.441575,,,0,0,,,NORMAL,False,1.2999999999999998,
Marina Mabrey,Assists,2.5,3.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.443502,,,0,0,,,NORMAL,False,-1.2999999999999998,
Marina Mabrey,Rebounds,4.5,5.2,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.445461,,,0,0,,,NORMAL,False,-0.7000000000000002,
Marina Mabrey,Points,16.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.447504,,,0,0,,,NORMAL,False,-1.1000000000000014,
Marina Mabrey,3-PT Made,5.5,2.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.449418,,,0,0,,,NORMAL,False,2.7,
Marina Mabrey,Assists,6.5,3.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.451324,,,0,0,,,NORMAL,False,2.7,
Marina Mabrey,Pts+Asts,21.5,21.4,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.453430,,,0,0,,,NORMAL,False,0.10000000000000142,
Marina Mabrey,Pts+Rebs+Asts,24.5,26.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.455537,,,0,0,,,NORMAL,False,-2.1000000000000014,
Marina Mabrey,Assists,3.0,3.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.457608,,,0,0,,,NORMAL,False,-0.7999999999999998,
Marina Mabrey,Points,19.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.459636,,,0,0,,,NORMAL,False,1.8999999999999986,
Marina Mabrey,Rebounds,7.5,5.2,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.461954,,,0,0,,,NORMAL,False,2.3,
Marina Mabrey,3-PT Made,1.5,2.8,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.463990,,,0,0,,,NORMAL,False,-1.2999999999999998,
Marina Mabrey,Pts+Rebs+Asts,26.0,26.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.466012,,,0,0,,,NORMAL,False,-0.6000000000000014,
Caitlin Clark,Points,21.5,21.1,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.468619,,,0,0,,,NORMAL,False,0.3999999999999986,
Caitlin Clark,Pts+Rebs+Asts,36.5,35.5,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.470624,,,0,0,,,NORMAL,False,1.0,
Caitlin Clark,Fantasy Score,43.5,19.4,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.472556,0.01,0.9,0,0,,confidence,DEMON,True,24.1,"diff=24.1, conf_over=0.010, conf_under=0.900"
Caitlin Clark,Assists,7.5,8.9,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.475836,,,0,0,,,NORMAL,False,-1.4000000000000004,
Caitlin Clark,Points,19.5,21.1,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.477825,,,0,0,,,NORMAL,False,-1.6000000000000014,
Caitlin Clark,Rebounds,5.5,5.5,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.479748,,,0,0,,,NORMAL,False,0.0,
Caitlin Clark,Rebounds,9.5,5.5,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.481786,,,0,0,,,NORMAL,False,4.0,
Caitlin Clark,Pts+Rebs+Asts,39.5,35.5,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.483813,,,0,0,,,NORMAL,False,4.0,
